255,0,0:10
**
480,660
480,660
500,647
535,626
555,613
575,603
594,595
626,583
634,581
636,580
628,583
607,592
584,602
558,614
516,639
504,648
499,652
497,653
521,638
550,621
580,602
610,585
643,574
646,574
646,576
627,589
573,613
546,626
526,636
514,643
509,645
517,641
542,627
606,595
636,583
651,579
657,579
635,590
604,604
569,621
517,648
507,653
504,655
522,646
550,630
582,612
614,599
653,586
657,586
657,587
602,616
569,632
541,646
522,656
513,661
513,661
537,649
599,616
630,603
646,599
653,597
642,607
613,623
579,640
548,655
525,667
512,673
513,673
572,644
604,630
633,619
657,612
659,612
655,617
630,627
572,652
546,663
531,671
524,675
530,675
554,665
618,639
648,627
662,622
668,621
656,626
626,640
564,668
543,678
533,683
530,684
549,678
578,664
610,652
651,638
656,637
656,637
618,653
588,668
562,680
536,695
535,695
540,695
592,670
613,662
626,658
629,657
616,665
592,677
556,695
549,698
548,698
585,683
614,672
633,667
644,666
643,666
624,672
589,684
587,684
606,681
