255,0,0:10
**
462,615
462,615
496,631
538,653
560,667
584,681
604,692
616,698
621,701
620,701
599,688
574,674
524,648
505,639
492,633
482,629
477,627
474,625
475,625
493,627
525,640
583,669
597,677
602,680
602,680
565,662
539,648
516,634
502,627
497,623
509,624
537,634
563,646
583,656
590,658
582,655
556,644
531,631
510,619
492,608
492,607
499,607
531,620
562,634
602,655
607,657
596,652
569,637
540,624
518,612
504,605
499,601
517,605
548,619
578,635
614,653
616,654
615,654
587,639
556,624
514,602
507,597
506,595
509,595
569,618
598,632
618,643
623,646
603,639
572,624
541,610
517,598
504,592
501,590
531,599
563,614
592,627
619,639
619,640
608,636
575,621
518,596
503,590
497,587
515,589
546,601
578,615
606,627
631,640
631,641
626,641
601,629
552,600
533,589
521,582
517,579
517,578
560,592
592,609
622,625
645,641
645,641
619,632
586,614
528,587
514,579
509,576
509,575
570,597
606,616
636,632
649,640
647,642
618,627
589,611
547,590
541,586
541,585
564,592
621,618
635,625
638,627
635,627
573,595
545,582
535,576
535,574
589,594
618,608
627,614
627,615
579,597
538,578
