255,0,0:10
**
608,605
608,605
599,604
580,610
570,617
562,625
558,632
557,647
562,652
571,654
593,652
600,643
605,631
605,612
600,606
594,605
585,605
567,613
560,621
555,629
554,645
559,651
568,655
590,655
601,646
608,633
611,605
610,597
606,590
593,587
584,588
574,596
565,607
553,633
552,644
552,656
562,669
571,670
581,670
600,644
604,631
604,620
600,602
591,599
579,599
552,610
542,619
538,627
535,643
538,650
546,656
570,659
586,658
602,644
620,609
622,597
622,586
607,579
590,579
571,589
545,613
540,624
537,636
540,655
547,663
555,669
574,674
586,673
600,657
616,620
617,606
611,587
604,583
589,583
552,601
540,612
531,625
525,646
525,655
528,664
543,678
550,682
575,675
590,652
599,629
602,599
601,589
594,583
567,582
551,590
536,601
521,625
519,638
523,657
533,666
545,672
572,674
588,661
600,641
608,612
608,600
603,593
581,588
563,589
536,607
528,619
524,629
525,650
531,659
540,669
558,681
569,682
581,677
602,635
607,617
609,590
606,583
600,578
578,578
563,589
552,601
540,627
540,640
542,649
565,664
577,668
611,662
626,646
636,624
641,590
640,578
631,572
603,571
584,582
560,608
556,620
556,632
572,650
588,654
625,651
638,639
646,623
648,598
640,590
630,586
607,585
597,589
582,609
582,619
587,628
618,636
635,636
669,611
677,599
679,589
672,573
660,571
641,571
621,580
600,603
598,622
602,630
611,637
630,641
640,640
662,605
666,589
666,578
654,567
638,567
606,595
598,609
595,619
596,632
601,635
609,636
611,636
