255,0,0:10
**
482,565
482,565
504,568
554,585
589,601
628,619
691,653
708,660
711,662
684,651
609,622
569,607
502,588
484,583
473,581
475,581
537,599
572,612
638,635
649,639
646,640
618,631
542,606
487,590
480,588
493,588
533,598
621,628
657,643
672,651
662,650
592,627
549,615
482,600
468,597
473,599
506,607
580,627
611,635
629,640
625,640
556,625
517,616
469,606
462,605
481,609
572,634
624,651
676,672
676,673
620,658
573,645
526,633
470,622
463,621
529,635
572,648
624,666
628,668
583,658
540,648
473,635
461,633
471,634
554,653
592,664
612,671
608,671
531,656
490,649
445,644
458,645
497,653
572,671
585,675
581,676
546,670
470,656
447,654
440,653
522,668
565,677
589,684
589,684
516,675
477,668
446,665
505,677
548,686
574,693
559,693
